region_name,country_code,province_name,city_name,region_city_rank,TA_main_page
INDIAN SUB-CONTINENT,IN,KARNATAKA,BANGALORE,2,https://www.tripadvisor.com/Tourism-g297628-Bengaluru_Bangalore_District_Karnataka-Vacations.html
INDIAN SUB-CONTINENT,IN,MAHARASHTRA,MUMBAI,3,https://www.tripadvisor.com/Tourism-g304554-Mumbai_Maharashtra-Vacations.html
INDIAN SUB-CONTINENT,IN,TAMIL NADU,CHENNAI,4,https://www.tripadvisor.com/Tourism-g304556-Chennai_Madras_Chennai_District_Tamil_Nadu-Vacations.html
INDIAN SUB-CONTINENT,IN,ANDHRA PRADESH,HYDERABAD,5,https://www.tripadvisor.com/Tourism-g297586-Hyderabad_Hyderabad_District_Telangana-Vacations.html
INDIAN SUB-CONTINENT,IN,RAJASTHAN,JAIPUR,6,https://www.tripadvisor.com/Tourism-g304555-Jaipur_Jaipur_District_Rajasthan-Vacations.html
INDIAN SUB-CONTINENT,NP,MADHYAMANCHAL,KATHMANDU,7,https://www.tripadvisor.com/Tourism-g293890-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region-Vacations.html
INDIAN SUB-CONTINENT,IN,WEST BENGAL,KOLKATA,8,https://www.tripadvisor.com/Tourism-g304558-Kolkata_Calcutta_Kolkata_District_West_Bengal-Vacations.html
INDIAN SUB-CONTINENT,IN,UTTAR PRADESH,VARANASI,9,https://www.tripadvisor.com/Tourism-g297685-Varanasi_Varanasi_District_Uttar_Pradesh-Vacations.html
INDIAN SUB-CONTINENT,IN,MAHARASHTRA,PUNE,10,https://www.tripadvisor.com/Tourism-g297654-Pune_Pune_District_Maharashtra-Vacations.html
NORTHEAST ASIA,KR,SEOUL,SEOUL,1,https://www.tripadvisor.com/Tourism-g294197-Seoul-Vacations.html
NORTHEAST ASIA,KR,SOUTH GYEONGSANG,BUSAN,2,https://www.tripadvisor.com/Tourism-g297884-Busan-Vacations.html
NORTHEAST ASIA,JP,KANTO,TOKYO,3,https://www.tripadvisor.com/Tourism-g298184-Tokyo_Tokyo_Prefecture_Kanto-Vacations.html
NORTHEAST ASIA,JP,KANSAI,KYOTO,4,https://www.tripadvisor.com/Tourism-g298564-Kyoto_Kyoto_Prefecture_Kinki-Vacations.html
NORTHEAST ASIA,JP,KANSAI,OSAKA,5,https://www.tripadvisor.com/Tourism-g298566-Osaka_Osaka_Prefecture_Kinki-Vacations.html
